zpid,address,cityname,state,zipcode,latitude,longitude,title,listingStatus,minPrice,maxPrice,bedrooms
2103196446,3221 Spring Garden St,Philadelphia,PA,19104,39.963623,-75.18942,The Residences At 3221,forRent,1625,1650,1
456195501,181 Whitewood Rd,Charlottesville,VA,22901,38.073997,-78.49341,Park's Edge Apartments,forRent,1093,1498,1
456195501,181 Whitewood Rd,Charlottesville,VA,22901,38.073997,-78.49341,Park's Edge Apartments,forRent,1498,1498,3
458684899,6050 Edgeware Ln,Alexandria,VA,22315,38.7632,-77.13955,Windsor Kingstowne,forRent,2303,2908,1
458684899,6050 Edgeware Ln,Alexandria,VA,22315,38.7632,-77.13955,Windsor Kingstowne,forRent,2561,2908,2
458224016,3603 Glengyle Ave,Baltimore,MD,21215,39.366535,-76.70577,Samester Apartments,forRent,1240,1405,1
458224016,3603 Glengyle Ave,Baltimore,MD,21215,39.366535,-76.70577,Samester Apartments,forRent,1310,1405,2
458666037,2400 16th St NW,Washington,DC,20009,38.92138,-77.03756,The Envoy,forRent,1780,2725,0
458666037,2400 16th St NW,Washington,DC,20009,38.92138,-77.03756,The Envoy,forRent,2280,2725,1
458666037,2400 16th St NW,Washington,DC,20009,38.92138,-77.03756,The Envoy,forRent,2725,2725,2
2080909099,9004 Prince William St,Manassas,VA,20110,38.750282,-77.46712,Manassas Station,forRent,1864,2765,1
2080909099,9004 Prince William St,Manassas,VA,20110,38.750282,-77.46712,Manassas Station,forRent,2440,2765,2
458696686,260 Ensemble Way,Frederick,MD,21701,39.417233,-77.38772,The Foundry at Renn Quarter,forRent,3250,3675,3
2071732416,1830 Lombard St,Philadelphia,PA,19146,39.945427,-75.173,The Pepper Building,forRent,1949,3196,1
2071732416,1830 Lombard St,Philadelphia,PA,19146,39.945427,-75.173,The Pepper Building,forRent,3031,3196,2
2092700575,2324 41st St NW,Washington,DC,20007,38.921467,-77.08102,Park Crest Apartments,forRent,1466,2682,0
2092700575,2324 41st St NW,Washington,DC,20007,38.921467,-77.08102,Park Crest Apartments,forRent,1871,2682,1
2092700575,2324 41st St NW,Washington,DC,20007,38.921467,-77.08102,Park Crest Apartments,forRent,2563,2682,2
458691371,202 N Queen St,Lancaster,PA,17603,40.041393,-76.30676,202 Queen,forRent,1519,2399,0
458691371,202 N Queen St,Lancaster,PA,17603,40.041393,-76.30676,202 Queen,forRent,1549,2399,1
458691371,202 N Queen St,Lancaster,PA,17603,40.041393,-76.30676,202 Queen,forRent,2399,2399,2
2079044927,7300 Jon Paul Dr,Alexandria,VA,22306,38.76109,-77.08999,Haven Huntley Meadows,forRent,1695,2625,1
2079044927,7300 Jon Paul Dr,Alexandria,VA,22306,38.76109,-77.08999,Haven Huntley Meadows,forRent,1960,2625,2
2079044927,7300 Jon Paul Dr,Alexandria,VA,22306,38.76109,-77.08999,Haven Huntley Meadows,forRent,2625,2625,3
2073878633,5950 Grand Pavilion Way,Alexandria,VA,22303,38.789806,-77.07563,The Courts at Huntington Station,forRent,1853,2792,1
2073878633,5950 Grand Pavilion Way,Alexandria,VA,22303,38.789806,-77.07563,The Courts at Huntington Station,forRent,2298,2792,2
455254263,311 S 13th St APT 107,Philadelphia,PA,19107,39.946213,-75.16251,"Morris Apartments, 107",,,,
456706438,1500 Honey Grove Dr,Henrico,VA,23229,37.601864,-77.54324,Tuckahoe Creek Apartments,forRent,1259,1873,1
456706438,1500 Honey Grove Dr,Henrico,VA,23229,37.601864,-77.54324,Tuckahoe Creek Apartments,forRent,1494,1873,2
456706438,1500 Honey Grove Dr,Henrico,VA,23229,37.601864,-77.54324,Tuckahoe Creek Apartments,forRent,1839,1873,3
2055907951,7620 Ridge Ave,Philadelphia,PA,19128,40.05152,-75.236595,7620 Ridge Avenue,forRent,1425,1505,1
2084221095,16 N 22nd St APT 303,Richmond,VA,23223,37.531357,-77.423645,"Poythress Apartments, 303",,,,
2079864467,4023 Majestic Ln,Fairfax,VA,22033,38.87808,-77.39485,East Meadow Apartment Homes,forRent,1865,2965,1
